Month,Date,carc_wt,Site,Environment,Treatment,male_size,female_size,larvae,is_bury,is_repo,Month_label,Environment_key,Month_key,Site_key,d1_0cm_mean,d2_0cm_mean,d3_0cm_mean,d4_0cm_mean,d5_0cm_mean,d6_0cm_mean,d7_0cm_mean,d8_0cm_mean,d9_0cm_mean,d10_0cm_mean,d11_0cm_mean,d1_5cm_mean,d2_5cm_mean,d3_5cm_mean,d4_5cm_mean,d5_5cm_mean,d6_5cm_mean,d7_5cm_mean,d8_5cm_mean,d9_5cm_mean,d10_5cm_mean,d11_5cm_mean,d1_10cm_mean,d2_10cm_mean,d3_10cm_mean,d4_10cm_mean,d5_10cm_mean,d6_10cm_mean,d7_10cm_mean,d8_10cm_mean,d9_10cm_mean,d10_10cm_mean,d11_10cm_mean,d1_15cm_mean,d2_15cm_mean,d3_15cm_mean,d4_15cm_mean,d5_15cm_mean,d6_15cm_mean,d7_15cm_mean,d8_15cm_mean,d9_15cm_mean,d10_15cm_mean,d11_15cm_mean,d1_20cm_mean,d2_20cm_mean,d3_20cm_mean,d4_20cm_mean,d5_20cm_mean,d6_20cm_mean,d7_20cm_mean,d8_20cm_mean,d9_20cm_mean,d10_20cm_mean,d11_20cm_mean,d1_0cm_DTR,d2_0cm_DTR,d3_0cm_DTR,d4_0cm_DTR,d5_0cm_DTR,d6_0cm_DTR,d7_0cm_DTR,d8_0cm_DTR,d9_0cm_DTR,d10_0cm_DTR,d11_0cm_DTR,d1_5cm_DTR,d2_5cm_DTR,d3_5cm_DTR,d4_5cm_DTR,d5_5cm_DTR,d6_5cm_DTR,d7_5cm_DTR,d8_5cm_DTR,d9_5cm_DTR,d10_5cm_DTR,d11_5cm_DTR,d1_10cm_DTR,d2_10cm_DTR,d3_10cm_DTR,d4_10cm_DTR,d5_10cm_DTR,d6_10cm_DTR,d7_10cm_DTR,d8_10cm_DTR,d9_10cm_DTR,d10_10cm_DTR,d11_10cm_DTR,d1_15cm_DTR,d2_15cm_DTR,d3_15cm_DTR,d4_15cm_DTR,d5_15cm_DTR,d6_15cm_DTR,d7_15cm_DTR,d8_15cm_DTR,d9_15cm_DTR,d10_15cm_DTR,d11_15cm_DTR,d1_20cm_DTR,d2_20cm_DTR,d3_20cm_DTR,d4_20cm_DTR,d5_20cm_DTR,d6_20cm_DTR,d7_20cm_DTR,d8_20cm_DTR,d9_20cm_DTR,d10_20cm_DTR,d11_20cm_DTR,d1_underground_mean,d2_underground_mean,d3_underground_mean,d4_underground_mean,d5_underground_mean,d6_underground_mean,d7_underground_mean,d8_underground_mean,d9_underground_mean,d10_underground_mean,d11_underground_mean,d1_underground_DTR,d2_underground_DTR,d3_underground_DTR,d4_underground_DTR,d5_underground_DTR,d6_underground_DTR,d7_underground_DTR,d8_underground_DTR,d9_underground_DTR,d10_underground_DTR,d11_underground_DTR,PC1_0cm,PC2_0cm,PC1_underground,PC2_underground,Site_str
March,2025/3/10,27.41,1,forest,no,5.25,5.47,0,1,0,March,forest,March,1,16.44583333,17.13145833,17.41385417,16.80302083,14.34479167,9.832291667,8.833229167,7.65625,9.402916667,8.81875,9.187916667,16.01895833,16.7609375,17.051875,16.729375,15.1446875,11.01239583,9.741458333,8.6425,9.649166667,9.485625,9.4675,15.67333333,16.4184375,16.74822917,16.66354167,15.7028125,11.99739583,10.50375,9.4896875,9.918333333,10.05479167,9.829166667,15.33322917,16.03291667,16.41072917,16.545,16.12583333,13.0828125,11.45114583,10.49083333,10.40322917,10.699375,10.35677083,14.8759375,15.50770833,15.91604167,16.17916667,16.095,13.77833333,12.18177083,11.2453125,10.84447917,11.10625,10.7525,3.99,4.21,1.51,2.92,7.29,2.49,0.82,3.43,2.41,6.27,6.48,2.23,2.49,0.73,1.81,5.19,2.19,0.77,2.24,1.58,4.12,3.82,1.28,1.42,0.69,1.2,3.86,2.27,0.94,1.63,1.24,2.74,2.4,1.2,1.24,0.73,0.82,2.57,2.32,1.07,1.24,0.82,1.72,1.41,0.86,0.85,0.55,0.64,1.67,2.06,1.2,1.08,0.43,1.07,0.86,15.47536458,16.18,16.53171875,16.52927084,15.76708333,12.46773437,10.96953125,9.967083333,10.20380209,10.33651042,10.10148437,1.3925,1.5,0.675,1.1175,3.3225,2.21,0.995,1.5475,1.0175,2.4125,2.1225,37.17864581,0.823994118,39.13236682,2.049274614,1
March,2025/3/10,24.54,1,forest,fly,5.39,5.37,,1,0,March,forest,March,1,16.44583333,17.13145833,17.41385417,16.80302083,14.34479167,9.832291667,8.833229167,7.65625,9.402916667,8.81875,9.187916667,16.01895833,16.7609375,17.051875,16.729375,15.1446875,11.01239583,9.741458333,8.6425,9.649166667,9.485625,9.4675,15.67333333,16.4184375,16.74822917,16.66354167,15.7028125,11.99739583,10.50375,9.4896875,9.918333333,10.05479167,9.829166667,15.33322917,16.03291667,16.41072917,16.545,16.12583333,13.0828125,11.45114583,10.49083333,10.40322917,10.699375,10.35677083,14.8759375,15.50770833,15.91604167,16.17916667,16.095,13.77833333,12.18177083,11.2453125,10.84447917,11.10625,10.7525,3.99,4.21,1.51,2.92,7.29,2.49,0.82,3.43,2.41,6.27,6.48,2.23,2.49,0.73,1.81,5.19,2.19,0.77,2.24,1.58,4.12,3.82,1.28,1.42,0.69,1.2,3.86,2.27,0.94,1.63,1.24,2.74,2.4,1.2,1.24,0.73,0.82,2.57,2.32,1.07,1.24,0.82,1.72,1.41,0.86,0.85,0.55,0.64,1.67,2.06,1.2,1.08,0.43,1.07,0.86,15.47536458,16.18,16.53171875,16.52927084,15.76708333,12.46773437,10.96953125,9.967083333,10.20380209,10.33651042,10.10148437,1.3925,1.5,0.675,1.1175,3.3225,2.21,0.995,1.5475,1.0175,2.4125,2.1225,37.17864581,0.823994118,39.13236682,2.049274614,1
March,2025/3/10,26.95,1,forest,mite,5.27,5.26,9,1,1,March,forest,March,1,16.44583333,17.13145833,17.41385417,16.80302083,14.34479167,9.832291667,8.833229167,7.65625,9.402916667,8.81875,9.187916667,16.01895833,16.7609375,17.051875,16.729375,15.1446875,11.01239583,9.741458333,8.6425,9.649166667,9.485625,9.4675,15.67333333,16.4184375,16.74822917,16.66354167,15.7028125,11.99739583,10.50375,9.4896875,9.918333333,10.05479167,9.829166667,15.33322917,16.03291667,16.41072917,16.545,16.12583333,13.0828125,11.45114583,10.49083333,10.40322917,10.699375,10.35677083,14.8759375,15.50770833,15.91604167,16.17916667,16.095,13.77833333,12.18177083,11.2453125,10.84447917,11.10625,10.7525,3.99,4.21,1.51,2.92,7.29,2.49,0.82,3.43,2.41,6.27,6.48,2.23,2.49,0.73,1.81,5.19,2.19,0.77,2.24,1.58,4.12,3.82,1.28,1.42,0.69,1.2,3.86,2.27,0.94,1.63,1.24,2.74,2.4,1.2,1.24,0.73,0.82,2.57,2.32,1.07,1.24,0.82,1.72,1.41,0.86,0.85,0.55,0.64,1.67,2.06,1.2,1.08,0.43,1.07,0.86,15.47536458,16.18,16.53171875,16.52927084,15.76708333,12.46773437,10.96953125,9.967083333,10.20380209,10.33651042,10.10148437,1.3925,1.5,0.675,1.1175,3.3225,2.21,0.995,1.5475,1.0175,2.4125,2.1225,37.17864581,0.823994118,39.13236682,2.049274614,1
March,2025/3/10,27.63,1,edge,no,4.49,5.06,,1,0,March,edge,March,1,16.72770833,17.3575,17.50666667,16.84864583,13.99114583,9.424375,8.634479167,7.412916667,9.621875,8.732083333,9.597395833,16.15395833,16.92114583,17.13385417,16.8303125,15.12666667,10.78052083,9.639479167,8.499583333,9.7621875,9.416979167,9.693541667,15.6575,16.41625,16.68885417,16.72885417,15.99822917,12.47614583,11.00125,10.0390625,10.33625,10.54239583,10.4284375,15.18302083,15.87489583,16.20864583,16.4421875,16.24135417,13.5715625,12.00625,11.10072917,10.841875,11.16822917,10.90729167,14.825625,15.43291667,15.79947917,16.1315625,16.22645833,14.34635417,12.88135417,12.00677083,11.48697917,11.6871875,11.41427083,5.23,5.7,2.15,3.99,9.1,2.57,1.11,4.42,3.48,7.93,12.14,2.49,2.83,0.82,2.02,5.83,2.19,0.69,2.58,1.84,4.76,5.1,1.42,1.41,0.73,1.16,3.6,2.19,0.98,1.51,1.16,2.49,2.4,1.08,1.07,0.61,0.65,2.1,2.15,1.2,1.08,0.6,1.38,1.16,0.77,0.77,0.52,1.03,1.37,1.93,1.16,0.94,0.26,0.69,0.6,15.45502604,16.16130208,16.45770834,16.53322917,15.89817709,12.79364583,11.38208333,10.41153646,10.60682292,10.70369792,10.61088542,1.44,1.52,0.67,1.215,3.225,2.115,1.0075,1.5275,0.965,2.33,2.315,38.54299543,5.612797237,39.8592277,1.851579927,1
March,2025/3/10,27.97,1,edge,fly,4.29,4.81,,0,0,March,edge,March,1,16.72770833,17.3575,17.50666667,16.84864583,13.99114583,9.424375,8.634479167,7.412916667,9.621875,8.732083333,9.597395833,16.15395833,16.92114583,17.13385417,16.8303125,15.12666667,10.78052083,9.639479167,8.499583333,9.7621875,9.416979167,9.693541667,15.6575,16.41625,16.68885417,16.72885417,15.99822917,12.47614583,11.00125,10.0390625,10.33625,10.54239583,10.4284375,15.18302083,15.87489583,16.20864583,16.4421875,16.24135417,13.5715625,12.00625,11.10072917,10.841875,11.16822917,10.90729167,14.825625,15.43291667,15.79947917,16.1315625,16.22645833,14.34635417,12.88135417,12.00677083,11.48697917,11.6871875,11.41427083,5.23,5.7,2.15,3.99,9.1,2.57,1.11,4.42,3.48,7.93,12.14,2.49,2.83,0.82,2.02,5.83,2.19,0.69,2.58,1.84,4.76,5.1,1.42,1.41,0.73,1.16,3.6,2.19,0.98,1.51,1.16,2.49,2.4,1.08,1.07,0.61,0.65,2.1,2.15,1.2,1.08,0.6,1.38,1.16,0.77,0.77,0.52,1.03,1.37,1.93,1.16,0.94,0.26,0.69,0.6,15.45502604,16.16130208,16.45770834,16.53322917,15.89817709,12.79364583,11.38208333,10.41153646,10.60682292,10.70369792,10.61088542,1.44,1.52,0.67,1.215,3.225,2.115,1.0075,1.5275,0.965,2.33,2.315,38.54299543,5.612797237,39.8592277,1.851579927,1
March,2025/3/10,25.83,1,edge,mite,5.91,5.87,,0,0,March,edge,March,1,16.72770833,17.3575,17.50666667,16.84864583,13.99114583,9.424375,8.634479167,7.412916667,9.621875,8.732083333,9.597395833,16.15395833,16.92114583,17.13385417,16.8303125,15.12666667,10.78052083,9.639479167,8.499583333,9.7621875,9.416979167,9.693541667,15.6575,16.41625,16.68885417,16.72885417,15.99822917,12.47614583,11.00125,10.0390625,10.33625,10.54239583,10.4284375,15.18302083,15.87489583,16.20864583,16.4421875,16.24135417,13.5715625,12.00625,11.10072917,10.841875,11.16822917,10.90729167,14.825625,15.43291667,15.79947917,16.1315625,16.22645833,14.34635417,12.88135417,12.00677083,11.48697917,11.6871875,11.41427083,5.23,5.7,2.15,3.99,9.1,2.57,1.11,4.42,3.48,7.93,12.14,2.49,2.83,0.82,2.02,5.83,2.19,0.69,2.58,1.84,4.76,5.1,1.42,1.41,0.73,1.16,3.6,2.19,0.98,1.51,1.16,2.49,2.4,1.08,1.07,0.61,0.65,2.1,2.15,1.2,1.08,0.6,1.38,1.16,0.77,0.77,0.52,1.03,1.37,1.93,1.16,0.94,0.26,0.69,0.6,15.45502604,16.16130208,16.45770834,16.53322917,15.89817709,12.79364583,11.38208333,10.41153646,10.60682292,10.70369792,10.61088542,1.44,1.52,0.67,1.215,3.225,2.115,1.0075,1.5275,0.965,2.33,2.315,38.54299543,5.612797237,39.8592277,1.851579927,1
March,2025/3/10,24.23,1,field,no,4.45,5.87,0,1,0,March,field,March,1,17.654375,18.07802083,17.84697917,17.1690625,14.46416667,9.993854167,9.2959375,8.022291667,10.52552083,10.1121875,11.72385417,16.70010417,17.48854167,17.41302083,17.16760417,16.02354167,11.9846875,10.75614583,9.6603125,10.48,10.76520833,11.49770833,16.04708333,16.84875,16.92072917,16.96927083,16.55229167,13.214375,11.78,10.760625,10.8475,11.35625,11.68322917,15.47447917,16.22822917,16.435,16.6503125,16.6415625,14.09552083,12.64416667,11.6684375,11.3153125,11.74041667,11.84875,15.1284375,15.80385417,16.08375,16.37916667,16.57927083,14.67604167,13.28541667,12.35052083,11.79364583,12.0465625,12.05010417,9.95,9.74,3.51,6.69,11.97,3.39,1.37,4.54,8.66,12.95,23.34,3.13,3.43,0.9,1.97,5.58,2.05,0.82,2.1,2.44,4.42,5.96,1.84,1.8,0.65,1.24,3.73,2.02,1.03,1.41,1.07,2.57,2.96,1.33,1.33,0.6,1.38,2.23,1.97,1.07,1.16,0.47,1.5,1.72,0.9,0.95,0.48,1.24,1.58,1.81,1.07,1.03,0.21,0.81,0.99,15.83752604,16.59234375,16.713125,16.79158854,16.44916667,13.49265625,12.11643229,11.10997396,11.10911458,11.47710938,11.76994792,1.8,1.8775,0.6575,1.4575,3.28,1.9625,0.9975,1.425,1.0475,2.325,2.9075,44.44623848,15.50537474,41.69260581,1.935450742,1
March,2025/3/10,26.26,1,field,fly,4.74,5.53,0,1,0,March,field,March,1,17.654375,18.07802083,17.84697917,17.1690625,14.46416667,9.993854167,9.2959375,8.022291667,10.52552083,10.1121875,11.72385417,16.70010417,17.48854167,17.41302083,17.16760417,16.02354167,11.9846875,10.75614583,9.6603125,10.48,10.76520833,11.49770833,16.04708333,16.84875,16.92072917,16.96927083,16.55229167,13.214375,11.78,10.760625,10.8475,11.35625,11.68322917,15.47447917,16.22822917,16.435,16.6503125,16.6415625,14.09552083,12.64416667,11.6684375,11.3153125,11.74041667,11.84875,15.1284375,15.80385417,16.08375,16.37916667,16.57927083,14.67604167,13.28541667,12.35052083,11.79364583,12.0465625,12.05010417,9.95,9.74,3.51,6.69,11.97,3.39,1.37,4.54,8.66,12.95,23.34,3.13,3.43,0.9,1.97,5.58,2.05,0.82,2.1,2.44,4.42,5.96,1.84,1.8,0.65,1.24,3.73,2.02,1.03,1.41,1.07,2.57,2.96,1.33,1.33,0.6,1.38,2.23,1.97,1.07,1.16,0.47,1.5,1.72,0.9,0.95,0.48,1.24,1.58,1.81,1.07,1.03,0.21,0.81,0.99,15.83752604,16.59234375,16.713125,16.79158854,16.44916667,13.49265625,12.11643229,11.10997396,11.10911458,11.47710938,11.76994792,1.8,1.8775,0.6575,1.4575,3.28,1.9625,0.9975,1.425,1.0475,2.325,2.9075,44.44623848,15.50537474,41.69260581,1.935450742,1
March,2025/3/10,27.17,1,field,mite,5.18,5.26,3,1,1,March,field,March,1,17.654375,18.07802083,17.84697917,17.1690625,14.46416667,9.993854167,9.2959375,8.022291667,10.52552083,10.1121875,11.72385417,16.70010417,17.48854167,17.41302083,17.16760417,16.02354167,11.9846875,10.75614583,9.6603125,10.48,10.76520833,11.49770833,16.04708333,16.84875,16.92072917,16.96927083,16.55229167,13.214375,11.78,10.760625,10.8475,11.35625,11.68322917,15.47447917,16.22822917,16.435,16.6503125,16.6415625,14.09552083,12.64416667,11.6684375,11.3153125,11.74041667,11.84875,15.1284375,15.80385417,16.08375,16.37916667,16.57927083,14.67604167,13.28541667,12.35052083,11.79364583,12.0465625,12.05010417,9.95,9.74,3.51,6.69,11.97,3.39,1.37,4.54,8.66,12.95,23.34,3.13,3.43,0.9,1.97,5.58,2.05,0.82,2.1,2.44,4.42,5.96,1.84,1.8,0.65,1.24,3.73,2.02,1.03,1.41,1.07,2.57,2.96,1.33,1.33,0.6,1.38,2.23,1.97,1.07,1.16,0.47,1.5,1.72,0.9,0.95,0.48,1.24,1.58,1.81,1.07,1.03,0.21,0.81,0.99,15.83752604,16.59234375,16.713125,16.79158854,16.44916667,13.49265625,12.11643229,11.10997396,11.10911458,11.47710938,11.76994792,1.8,1.8775,0.6575,1.4575,3.28,1.9625,0.9975,1.425,1.0475,2.325,2.9075,44.44623848,15.50537474,41.69260581,1.935450742,1
March,2025/3/10,27.12,2,forest,no,5.16,4.18,0,1,0,March,forest,March,2,16.68052083,17.293125,17.43770833,16.66802083,13.74135417,8.829375,8.045416667,6.775833333,9.3090625,8.2509375,9.516354167,16.20479167,16.868125,17.03166667,16.70833333,15.00625,10.48302083,9.31,8.1296875,9.547916667,9.2534375,9.785208333,15.84822917,16.515625,16.71864583,16.63333333,15.62760417,11.71916667,10.305,9.24,9.941354167,10.0671875,10.23729167,15.43458333,16.04833333,16.33708333,16.44604167,15.98833333,12.93010417,11.3771875,10.41645833,10.47052083,10.82166667,10.73927083,14.88333333,15.43177083,15.75489583,16.016875,15.94260417,13.95135417,12.49885417,11.59604167,11.21677083,11.494375,11.30479167,5.92,6.26,1.89,4.21,8.96,2.96,1.28,5.19,5.84,9.79,18.66,2.83,2.91,0.77,2.06,5.88,2.36,0.65,2.92,2.19,5.5,6.47,1.63,1.71,0.73,1.33,4.21,2.32,0.77,1.98,1.46,3.6,3.86,1.24,1.24,0.68,0.81,2.7,2.23,0.98,1.37,0.99,2.19,2.1,0.81,0.77,0.51,0.39,1.33,1.97,1.07,1.07,0.39,1.07,0.94,15.59273438,16.21596354,16.46057292,16.45114583,15.64119792,12.27091146,10.87276042,9.845546875,10.29414062,10.40916667,10.51664063,1.6275,1.6575,0.6725,1.1475,3.53,2.22,0.8675,1.835,1.2575,3.09,3.3425,38.18948343,10.55977574,38.97653764,2.848654698,2
