Position,Environment,Site,Logger ID,Month,Coverage,d1_0cm_mean,d1_0cm_DTR,d2_0cm_mean,d2_0cm_DTR,d3_0cm_mean,d3_0cm_DTR,d4_0cm_mean,d4_0cm_DTR,d5_0cm_mean,d5_0cm_DTR,d6_0cm_mean,d6_0cm_DTR,d7_0cm_mean,d7_0cm_DTR,d8_0cm_mean,d8_0cm_DTR,d9_0cm_mean,d9_0cm_DTR,d10_0cm_mean,d10_0cm_DTR,d11_0cm_mean,d11_0cm_DTR,d1_5cm_mean,d1_5cm_DTR,d2_5cm_mean,d2_5cm_DTR,d3_5cm_mean,d3_5cm_DTR,d4_5cm_mean,d4_5cm_DTR,d5_5cm_mean,d5_5cm_DTR,d6_5cm_mean,d6_5cm_DTR,d7_5cm_mean,d7_5cm_DTR,d8_5cm_mean,d8_5cm_DTR,d9_5cm_mean,d9_5cm_DTR,d10_5cm_mean,d10_5cm_DTR,d11_5cm_mean,d11_5cm_DTR,d1_10cm_mean,d1_10cm_DTR,d2_10cm_mean,d2_10cm_DTR,d3_10cm_mean,d3_10cm_DTR,d4_10cm_mean,d4_10cm_DTR,d5_10cm_mean,d5_10cm_DTR,d6_10cm_mean,d6_10cm_DTR,d7_10cm_mean,d7_10cm_DTR,d8_10cm_mean,d8_10cm_DTR,d9_10cm_mean,d9_10cm_DTR,d10_10cm_mean,d10_10cm_DTR,d11_10cm_mean,d11_10cm_DTR,d1_15cm_mean,d1_15cm_DTR,d2_15cm_mean,d2_15cm_DTR,d3_15cm_mean,d3_15cm_DTR,d4_15cm_mean,d4_15cm_DTR,d5_15cm_mean,d5_15cm_DTR,d6_15cm_mean,d6_15cm_DTR,d7_15cm_mean,d7_15cm_DTR,d8_15cm_mean,d8_15cm_DTR,d9_15cm_mean,d9_15cm_DTR,d10_15cm_mean,d10_15cm_DTR,d11_15cm_mean,d11_15cm_DTR,d1_20cm_mean,d1_20cm_DTR,d2_20cm_mean,d2_20cm_DTR,d3_20cm_mean,d3_20cm_DTR,d4_20cm_mean,d4_20cm_DTR,d5_20cm_mean,d5_20cm_DTR,d6_20cm_mean,d6_20cm_DTR,d7_20cm_mean,d7_20cm_DTR,d8_20cm_mean,d8_20cm_DTR,d9_20cm_mean,d9_20cm_DTR,d10_20cm_mean,d10_20cm_DTR,d11_20cm_mean,d11_20cm_DTR,d1_underground_mean,d1_underground_DTR,d2_underground_mean,d2_underground_DTR,d3_underground_mean,d3_underground_DTR,d4_underground_mean,d4_underground_DTR,d5_underground_mean,d5_underground_DTR,d6_underground_mean,d6_underground_DTR,d7_underground_mean,d7_underground_DTR,d8_underground_mean,d8_underground_DTR,d9_underground_mean,d9_underground_DTR,d10_underground_mean,d10_underground_DTR,d11_underground_mean,d11_underground_DTR
7_Edge,Edge,7,1574,February,88.72,11.60010417,1.08,8.153125,6,5.865,3.86,8.2159375,5.15,10.333125,5.88,14.74572917,17.54,14.25083333,5.92,11.47135417,3.34,13.32677083,7.55,15.83447917,9.83,13.15572917,11.28,11.87489583,2.4,8.748333333,5.15,6.300416667,2.87,8.256979167,4.12,10.25416667,4.46,14.07875,6.05,14.24104167,5.23,11.58,2.88,13.21989583,6.09,15.46885417,6.52,13.30885417,8.7,12.04052083,2.96,8.2365625,6.09,5.660729167,4.16,8.115625,5.4,10.2775,5.83,14.41260417,9.57,14.1971875,6.31,11.39770833,3.52,13.27989583,7.76,15.62020833,7.77,13.5259375,9.91,12.04177083,3.13,10.93104167,2.23,9.0390625,0.99,9.418125,0.81,10.48145833,0.9,12.70625,2.19,13.63604167,2.61,12.06010417,0.9,12.96135417,0.73,14.28104167,1.76,14.36208333,1.46,12.03958333,2.1,11.5984375,1.29,10.1871875,1.07,10.03083333,0.39,10.69885417,0.73,12.24239583,1.88,13.4534375,2.27,12.39427083,0.69,12.91489583,0.68,13.85645833,1.25,14.18947917,0.73,11.99919271,2.6475,9.87859375,3.69,7.796848958,2.2725,8.955390625,2.68,10.42799479,2.98,13.36,4.9225,13.88192708,4.105,11.85802083,1.9975,13.09401042,3.815,14.80664063,4.325,13.84658854,5.2
7_Edge,Edge,7,1574,March,54.76,18.55270833,12.01,19.09020833,13.12,18.61104167,5.14,17.79510417,8.15,14.77979167,12.7,9.690104167,4.51,8.942604167,2.05,7.567083333,6.05,10.38458333,5.07,9.435416667,13,10.78166667,21.28,17.42927083,5.15,18.13864583,5.58,17.90354167,1.71,17.58947917,3.22,15.9609375,6.69,11.49864583,2.4,10.2965625,1.08,9.113333333,3.05,10.53072917,2.27,10.39635417,6.61,10.76427083,8.11,16.5475,2.32,17.26625,2.44,17.233125,0.95,17.3025,1.71,16.62072917,4.12,13.13229167,2.06,11.6453125,1.12,10.65520833,1.71,11.03875,1.33,11.36322917,3.34,11.28489583,3.3,16.13895833,1.67,16.83104167,1.81,16.89833333,0.82,17.12833333,1.2,16.92708333,2.75,14.0775,2.06,12.50114583,1.29,11.5596875,1.38,11.45427083,0.94,11.89739583,2.06,11.69989583,1.97,15.52729167,0.94,16.09572917,0.99,16.32625,0.55,16.63791667,0.68,16.78302083,1.41,14.90895833,1.67,13.449375,1.29,12.56833333,1.03,12.099375,0.48,12.38322917,0.99,12.16395833,0.9,16.41075521,2.52,17.08291667,2.705,17.0903125,1.0075,17.16455729,1.7025,16.57294271,3.7425,13.40434896,2.0475,11.97309896,1.195,10.97414063,1.7925,11.28078125,1.255,11.51005208,3.25,11.47825521,3.57
7_Edge,Edge,7,1574,June,64.97,24.29,13,27.98302083,21.19,27.16739583,27.49,23.29583333,4.85,24.24125,9.48,24.4084375,10.42,27.84572917,28.44,25.41166667,14.54,23.24666667,8.36,25.25927083,27.03,26.88041667,22.91,24.14635417,4.85,26.78416667,9.4,26.624375,12.53,23.29395833,2.44,24.09072917,3.3,24.39520833,4.85,26.40541667,10.17,25.27020833,6.3,23.2809375,3,24.8971875,9.39,25.85010417,8.07,23.77791667,2.36,25.31625,4.25,25.68552083,5.15,23.20614583,0.86,23.76322917,1.33,24.02791667,2.32,25.173125,4.07,24.75479167,2.23,23.32583333,1.21,24.32,3.26,24.87916667,2.96,23.6090625,1.5,24.61979167,2.75,25.13895833,3.09,23.23322917,0.64,23.57885417,0.86,23.80114583,1.42,24.62364583,2.7,24.4340625,1.5,23.40604167,0.86,24.0153125,1.89,24.43197917,2.02,22.99760417,1.46,23.39520833,1.33,23.94958333,1.24,23.08020833,0.64,23.0821875,0.48,23.1878125,0.6,23.63052083,1.29,23.69989583,0.56,23.231875,0.65,23.3796875,0.95,23.61875,0.95,23.63273438,2.5425,25.02885417,4.4325,25.34960938,5.5025,23.20338542,1.145,23.62875,1.4925,23.85302083,2.2975,24.95817708,4.5575,24.53973958,2.6475,23.31117188,1.43,24.15304688,3.8725,24.695,3.5
7_Edge,Edge,7,1574,May,47.64,22.4253125,28.53,25.46947917,31.91,25.57260417,35.44,23.22958333,16.34,24.09375,18.96,23.75208333,12.96,24.5471875,12.09,24.4671875,12.57,24.80989583,10.85,24.31625,19.18,24.04583333,7.51,21.03541667,8.92,23.3046875,9.74,23.983125,10.46,22.61864583,4.59,23.1990625,4.63,23.29864583,4.07,23.895,4.21,24.02989583,4.84,24.286875,4.8,24.1884375,7.51,23.92833333,3.34,20.04416667,4.29,21.78958333,4.46,22.75,3.95,21.95979167,2.06,22.31375,2.15,22.6065625,2.14,23.04041667,1.93,23.27541667,2.23,23.51229167,2.23,23.60197917,3.17,23.30822917,1.63,19.63041667,2.91,21.11833333,3.17,22.12395833,2.66,21.65072917,1.33,21.90260417,1.59,22.2715625,1.59,22.60135417,1.37,22.8740625,1.46,23.10229167,1.5,23.26145833,2.02,22.9759375,1.25,18.97114583,1.45,19.98489583,1.67,20.875,1.41,20.8515625,0.69,21.03229167,0.81,21.40875,1.03,21.65864583,0.86,21.91958333,0.73,22.12541667,0.82,22.32083333,0.86,22.17791667,0.6,19.92028646,4.3925,21.549375,4.76,22.43302083,4.62,21.77018229,2.1675,22.11192708,2.295,22.39638021,2.2075,22.79885417,2.0925,23.02473958,2.315,23.25671875,2.3375,23.34317708,3.39,23.09760417,1.705
7_Edge,Edge,7,1574,April_1,42.29,17.425,27.2,23.59385417,39.13,19.9690625,18.79,20.49020833,10.99,23.01385417,19.22,23.00270833,27.16,23.85625,37.88,26.68458333,40.71,23.036875,18.53,21.2578125,6.9,18.35010417,6.04,16.71020833,7.29,20.28770833,12.39,18.84270833,5.62,19.28010417,3.87,21.125625,5.32,21.6178125,5.84,22.49104167,10.21,23.97708333,13.56,22.17604167,5.15,20.8978125,2.71,19.0340625,4.12,16.5203125,3.26,18.7325,6.05,18.20677083,2.58,18.46,1.63,19.828125,2.54,20.5803125,2.66,21.3753125,3.87,22.3584375,5.88,21.35927083,2.19,20.5240625,1.33,19.28822917,2.53,16.48479167,1.93,18.03520833,4.08,17.90666667,1.5,18.07510417,1.28,19.15104167,1.98,20.09864583,2.7,20.72916667,2.19,21.559375,3.77,20.9753125,1.33,20.36333333,0.86,19.46229167,1.85,16.32239583,0.82,17.0775,1.98,17.31979167,0.73,17.43885417,0.68,18.15114583,1.29,19.10104167,1.71,19.58479167,1.24,20.1990625,1.8,20.08375,0.6,19.77197917,0.48,19.28041667,1.12,16.50942708,3.325,18.53322917,6.125,18.06898438,2.6075,18.31351563,1.865,19.56398438,2.7825,20.34945313,3.2275,21.04507812,4.3775,22.02348958,6.2525,21.14859375,2.3175,20.38929688,1.345,19.26625,2.405
7_Edge,Edge,7,1574,January,89.58,12.09802083,4.72,8.707604167,4.42,8.691145833,1.59,8.8521875,4.37,11.54010417,3.22,9.568854167,7.85,11.11927083,3.35,12.51083333,3.86,13.75760417,4.38,13.3884375,10.26,14.47260417,4.21,11.72114583,3.26,10.11322917,2.96,9.514166667,0.99,9.512291667,1.37,11.54083333,1.98,10.54291667,5.19,10.95395833,2.41,12.38197917,1.41,13.69114583,2.15,13.43041667,4.12,14.2753125,1.41,11.5875,2.41,10.9796875,1.97,10.1846875,0.82,10.145,0.39,11.5190625,1.55,11.0728125,3.3,11.08020833,1.81,12.299375,1.21,13.48114583,1.12,13.46041667,2.4,14.03364583,1.21,11.60791667,1.8,11.48052083,1.33,10.69552083,0.65,10.615,0.35,11.56916667,1.29,11.48927083,2.14,11.27145833,1.33,12.25958333,0.94,13.29354167,0.94,13.4584375,1.37,13.8575,1.07,11.7828125,1.16,11.92677083,0.81,11.27927083,0.51,11.14,0.22,11.709375,0.9,11.94072917,1.16,11.61302083,0.65,12.3090625,0.77,13.14072917,0.77,13.4734375,0.69,13.71854167,0.86,11.67484375,2.1575,11.12505208,1.7675,10.41841146,0.7425,10.35307292,0.5825,11.58460938,1.43,11.26143229,2.9475,11.22966146,1.55,12.3125,1.0825,13.40164062,1.245,13.45567708,2.145,13.97125,1.1375
7_Forest,Forest,7,1579,March,81.7,16.89854167,5.66,17.62760417,6.09,17.43270833,2.1,16.9084375,3.82,14.353125,9.18,9.451458333,2.7,8.575,0.99,7.362083333,4.29,9.526770833,4.46,9.0296875,8.63,10.20854167,14.71,16.02520833,2.02,16.84927083,2.19,16.91197917,0.65,16.74854167,1.58,15.39958333,5.24,11.280625,2.19,9.993645833,0.94,8.874583333,2.14,9.817916667,1.8,9.901770833,4.25,10.304375,4.67,15.47895833,1.42,16.2975,1.46,16.48833333,0.6,16.59416667,0.86,16.16010417,2.92,12.91479167,2.28,11.31364583,1.07,10.2653125,1.42,10.35625,0.95,10.74833333,2.23,10.813125,2.23,15.18916667,1.12,15.96229167,1.16,16.21677083,0.51,16.40052083,0.6,16.21708333,2.19,13.48416667,2.31,11.86760417,1.16,10.83270833,1.16,10.6609375,0.6,11.02427083,1.51,11.00541667,1.5,14.87708333,0.9,15.56739583,0.86,15.89604167,0.43,16.1625,0.43,16.24489583,1.28,14.18375,2.06,12.60364583,1.2,11.58822917,1.07,11.14458333,0.34,11.4221875,0.86,11.33197917,0.86,15.39260417,1.365,16.16911458,1.4175,16.37828125,0.5475,16.47643229,0.8675,16.00541667,2.9075,12.96583333,2.21,11.44463542,1.0925,10.39020833,1.4475,10.49492188,0.9225,10.77414063,2.2125,10.86372396,2.315
7_Forest,Forest,7,1579,April_1,80.94,15.68208333,11.5,19.14041667,20.03,18.194375,9.35,18.87208333,7.07,20.59979167,9.14,20.6696875,7.77,21.33802083,14.88,22.34052083,19.35,20.67270833,5.36,19.88583333,2.7,17.37614583,3.6,15.453125,2.96,17.3359375,3.3,17.40489583,2.14,17.90708333,1.5,19.2434375,1.46,19.83447917,1.76,20.46729167,3.35,21.17864583,4.2,20.23604167,1.5,19.70583333,0.94,18.16666667,2.41,15.45552083,1.55,16.66833333,2.62,17.0215625,1.2,17.42416667,0.95,18.47447917,1.37,19.20645833,1.16,19.82552083,1.46,20.4521875,2.4,19.88083333,0.77,19.52416667,0.55,18.54927083,1.71,15.39416667,1.03,16.32322917,1.97,16.74958333,0.9,17.1165625,0.81,18.0234375,1.07,18.79395833,0.99,19.38604167,1.08,19.97041667,1.72,19.59614583,0.55,19.32104167,0.43,18.551875,1.33,15.359375,0.6,15.95583333,1.33,16.43354167,0.65,16.75197917,0.6,17.47395833,0.95,18.2221875,0.77,18.7959375,0.86,19.34791667,1.15,19.208125,0.34,19.02489583,0.34,18.5103125,0.94,15.41554688,1.535,16.57083333,2.305,16.90239583,1.2225,17.29994792,0.965,18.30382813,1.2125,19.01427083,1.17,19.61869792,1.6875,20.23729167,2.3675,19.73028646,0.79,19.39398438,0.565,18.44453125,1.5975
7_Forest,Forest,7,1579,May,84.72,19.79760417,9.99,22.1,19.44,22.4775,20.64,21.708125,8.62,22.29895833,6.31,22.07885417,5.88,22.63760417,5.75,22.7334375,6.87,23.11395833,6.48,23.00239583,13.56,22.83927083,4.16,18.80822917,2.19,20.57364583,2.36,21.28354167,2.79,21.08885417,1.68,21.51302083,1.76,21.65979167,1.58,21.9446875,1.33,22.23833333,1.89,22.43416667,1.67,22.56114583,3.34,22.50135417,1.42,18.36427083,1.93,19.83427083,2.05,20.676875,1.5,20.72458333,0.85,21.03666667,0.99,21.2790625,0.77,21.49145833,0.73,21.83010417,0.9,22.00270833,0.86,22.1746875,1.37,22.14729167,0.86,18.151875,1.5,19.43041667,1.63,20.2546875,1.16,20.40166667,0.61,20.70052083,0.78,20.96552083,0.64,21.178125,0.6,21.50916667,0.64,21.6815625,0.68,21.87052083,0.95,21.859375,0.68,17.93302083,1.07,18.92854167,1.24,19.71510417,0.86,19.96083333,0.43,20.24104167,0.6,20.53010417,0.56,20.74864583,0.43,21.05885417,0.47,21.23177083,0.52,21.44083333,0.55,21.4378125,0.52,18.31434896,1.6725,19.69171875,1.82,20.48255208,1.5775,20.54398438,0.8925,20.8728125,1.0325,21.10861979,0.8875,21.34072917,0.7725,21.65911458,0.975,21.83755208,0.9325,22.01179687,1.5525,21.98645833,0.87
7_Forest,Forest,7,1579,June,90.37,23.22041667,5.41,25.11020833,11.58,24.60135417,16.26,22.62197917,1.89,22.92541667,4.11,23.16375,5.41,24.9640625,14.37,23.86302083,5.62,22.36604167,4.97,23.3884375,12.22,24.23625,5.62,22.96739583,1.63,24.11114583,2.49,24.12625,3.73,22.62229167,0.64,22.81041667,0.99,22.95666667,1.8,24.07447917,3.13,23.631875,1.72,22.52822917,1.11,23.20072917,3.01,23.59885417,1.42,22.7053125,0.9,23.4396875,1.63,23.7309375,1.68,22.685,0.39,22.751875,0.56,22.840625,0.94,23.52510417,1.63,23.38697917,1.28,22.70916667,0.64,23.03895833,1.16,23.28375,1.03,22.44895833,0.86,23.0375,1.2,23.3853125,1.11,22.59854167,0.47,22.589375,0.47,22.65635417,0.64,23.1878125,1.25,23.1434375,1.12,22.65520833,0.56,22.87635417,0.77,23.05739583,0.78,22.07479167,0.77,22.501875,0.86,22.89125,0.64,22.43302083,0.43,22.3525,0.3,22.38635417,0.38,22.74854167,0.85,22.81510417,0.6,22.5690625,0.38,22.65385417,0.51,22.774375,0.56,22.54911458,1.04,23.27255208,1.545,23.5334375,1.79,22.58471354,0.4825,22.62604167,0.58,22.71,0.94,23.38398437,1.715,23.24434896,1.18,22.61541667,0.6725,22.94247396,1.3625,23.17859375,0.9475
